0.5,3.0,false,true
8.903946,15.275241,19.204477,16.5424,17.374971,17.1804,19.492437
0.97592276,0.9419295,0.9507875,0.9991528,0.93077576,0.82389927,0.9275843
1.4653546,1.9985855,2.5390007,3.2232044,3.541866,4.0124593,3.7604876
5
r,135.0,477.0,135.0,477.0
r,486.0,216.0,792.0,362.0
r,1052.0,230.0,1269.0,331.0
r,697.0,396.0,894.0,491.0
r,1090.0,438.0,1176.0,467.0
5,00011,31,10011,220,11110,260,11101,281,01011,308
5,00010,127,11011,223,11110,260,11100,300,01011,305
5,01010,211,11111,241,00011,284,01100,303,11010,324
5,10010,123,01011,224,11110,266,11100,295,11011,308
5,00010,6,11011,193,11110,260,11101,299,01011,305
5,00100,132,11100,236,01010,279,11110,289,10001,317
5,10100,177,01111,215,01011,284,10110,309,11100,314
5,01101,201,01110,234,11101,295,01001,305,01101,323
5,00101,183,01110,219,11001,286,01110,308,10110,316
5,01011,171,11111,238,10001,281,01100,296,11010,320
6,10010,225,10100,254,10100,282,00000,284,00110,291,00011,310
5,00100,137,11111,220,00111,263,10000,301,11111,318
5,00101,201,01111,207,00001,209,11111,299,11010,317
5,00011,89,00011,222,11110,263,11111,298,00011,321
5,00010,89,11011,214,01110,262,11101,310,10011,328
5,10110,182,01101,222,01011,286,10110,315,11100,329
5,01011,57,10011,208,11110,257,11001,288,01011,305
5,01101,188,01110,230,11101,289,01001,321,01011,344
5,00011,89,10011,222,11100,263,11101,298,01001,321
6,10000,201,10010,224,00110,289,10011,308,00011,310,00011,315
5,01000,66,11001,208,10111,260,11100,299,01001,305
6,10000,165,11100,225,01010,290,10010,295,10000,316,10010,356
5,10101,248,00101,254,10101,260,00101,301,00101,305
5,11100,101,01100,228,10111,259,11011,296,11100,319
5,10100,162,11011,224,01011,277,10000,311,10111,327
5,00010,116,10011,224,00100,267,10111,286,10011,310
5,10101,229,00101,247,10101,272,00011,302,00101,314
5,10100,188,01110,221,01011,273,10110,300,01100,312
5,00110,143,11100,231,01010,272,10110,295,10001,330
5,11000,137,11101,223,00011,266,01000,301,11110,314
5,01011,175,10111,246,00001,276,01100,297,10010,329
5,00010,108,01010,207,01111,248,01100,290,01001,302
5,00110,31,11001,220,10010,260,10001,281,01011,308
6,00110,216,00110,228,10111,287,01011,312,00111,318,10010,356
5,01010,121,01111,230,00011,272,01100,292,11000,316
5,01000,113,11111,211,00011,264,01010,287,11110,305
